event_profile_id,event_name,description,severity,priority,expected_duration_seconds,compound_risk_possible,recommended_response,dashboard_color,heatmap_color,ai_reasoning_summary
EV_NORMAL_PRODUCTION,Normal Production,"Stable coking, quenching and by-product operation",LOW,3,60,NO,"Monitor plant, no special action",green,green,Telemetry patterns within normal ranges across zones.
EV_GAS_LEAK_MINOR,Minor Gas Leak,Small leak causing elevated gas levels but below critical,MEDIUM,2,300,YES,"Investigate source, increase monitoring, prepare for escalation",yellow,yellow,"Slow rise in gas sensors, early warning thresholds triggered."
EV_GAS_LEAK_MAJOR,Major Gas Leak,Significant leak causing critical gas levels in confined space,CRITICAL,1,600,YES,"Evacuate affected zones, isolate gas, SCBA entry only, initiate emergency shutdown",red,red,Rapid gas accumulation with multiple sensors reaching critical ranges.
EV_PRESSURE_SURGE,Pressure Surge,Short-term surge in hydraulic or gas pressure,HIGH,1,60,YES,"Check relief valves and isolation valves, inspect equipment",orange,orange,Fast spike in pressure sensors followed by recovery.
EV_HOT_WORK_START,Hot Work Starts,Authorized hot work begins in a hazardous area,MEDIUM,2,1800,YES,"Verify permits, gas tests, supervision, PPE, fire watchers",yellow,yellow,Hot work permit active in high-risk zone affecting risk weighting.
EV_CONFINED_SPACE_ENTRY,Confined Space Entry,Worker enters confined space under permit,HIGH,1,1800,YES,"Ensure isolation, continuous gas monitoring, rescue plan ready",orange,orange,"Confined space permit active, any gas anomaly becomes critical."
EV_PUMP_FAILURE,Pump Failure,Failure or trip of critical pump in by-product or quench system,HIGH,1,300,YES,"Switch to backup, isolate system, investigate cause",orange,orange,Flow and level deviations with equipment trip indications.
EV_VALVE_FAILURE,Valve Failure,Failure of isolation or control valve in gas distribution,CRITICAL,1,300,YES,"Isolate section, depressurize, evacuate area",red,red,Gas and pressure anomalies near valve gallery with abnormal valve states.
EV_SMOKE_DETECTION,Smoke Detection,Smoke detected along quench track or battery,HIGH,1,120,YES,"Investigate source, prepare fire response",orange,orange,Smoke detector spikes and camera-verified smoke.
EV_FIRE_DETECTION,Fire Detection,Confirmed fire or ember hotspot in coke or equipment,CRITICAL,1,300,YES,"Activate fire suppression, evacuate area, call fire team",red,red,IR hotspot and smoke signals consistent with fire.
EV_POWER_FAILURE,Power Failure,Loss of power to part of the plant,HIGH,1,300,YES,"Switch to emergency supply, safe shutdown of equipment",orange,orange,Telemetry shows multiple equipment status changes and flatlining sensors.
EV_EMERGENCY_SHUTDOWN,Emergency Shutdown,Controlled emergency shutdown of plant section,CRITICAL,1,600,YES,"Execute shutdown SOP, confirm isolation and safe states",red,red,"Sensors show equipment ramp-down, valves closed, flows stopped."
EV_UNAUTHORIZED_ENTRY,Unauthorized Entry,Worker enters restricted zone without authorization,MEDIUM,2,600,YES,"Alert security and safety, escort worker out, investigate",yellow,yellow,RFID/CV shows worker in zone without matching permit.
EV_PPE_VIOLATION,PPE Violation,Worker present without required PPE,MEDIUM,2,600,YES,"Warn worker, enforce PPE policy, log violation",yellow,yellow,CV/worker data show mismatch between PPE level and zone requirements.
EV_MAINTENANCE_START,Maintenance Start,Maintenance task begins under permit,LOW,3,1800,YES,"Verify permits and isolation, adjust risk weighting",green,yellow,Maintenance start event contextualizes sensor deviations.
EV_MAINTENANCE_END,Maintenance End,Maintenance task completes,LOW,3,1800,NO,"Verify restoration of normal operation, close permit",green,green,Sensor patterns return to normal after maintenance.
EV_WORKER_COLLAPSE,Worker Collapse,Worker medical emergency in plant,CRITICAL,1,300,YES,"Call medical response, evacuate local area, assist worker",red,red,CV/RTLS indicate immobile worker plus abnormal vital signs or reports.
