behavior_profile_id,behavior_name,description,mathematical_model,default_duration,supports_noise,supports_recovery,maximum_rate_of_change,minimum_rate_of_change,recommended_sensor_types,required_parameters,example_graph_shape,industrial_examples
BEH_STABLE,Stable,Nearly constant value with minimal variation,constant,600,YES,NO,0.1,0.0,Temperature;Oxygen;Pressure,baseline_value,flat line,Stable oven temperature or oxygen in well-ventilated area
BEH_RANDOM_DRIFT,Random Drift,Small random variations around a baseline,bounded_random_walk,600,YES,NO,0.5,0.0,CO;H2S;LEL;Stack Opacity,"baseline_value,drift_band",jitter around baseline,"CO, H2S detectors showing minor fluctuations"
BEH_LINEAR_RISE,Linear Rise,Value increases linearly from start to target,linear_ramp,300,YES,YES,5.0,0.1,Pressure;CO;H2S;LEL,"start_value,end_value",straight ramp up,"Gas accumulation, pressure build-up"
BEH_LINEAR_FALL,Linear Fall,Value decreases linearly from start to target,linear_ramp_down,300,YES,YES,5.0,0.1,Oxygen;Pressure;Flow,"start_value,end_value",straight ramp down,"O2 deficiency, pressure drop after relief"
BEH_EXPONENTIAL_RISE,Exponential Rise,Value approaches target asymptotically,exponential,600,YES,YES,3.0,0.1,Gas Concentration;Temperature,"start_value,end_value,time_constant",S-curve,Gas diffusion into confined space
BEH_EXPONENTIAL_DECAY,Exponential Decay,Value decays toward baseline,exponential_decay,600,YES,YES,3.0,0.1,Gas Concentration;Temperature,"start_value,end_value,time_constant",decay curve,Gas dilution after ventilation or thermal cooling
BEH_SPIKE,Spike,Sudden rise followed by quick decay,step_plus_decay,60,YES,YES,50.0,1.0,Smoke;Coke Hotspot;Pressure,"peak_value,decay_constant",sharp peak then drop,"Smoke burst, ember hotspot, pressure surge"
BEH_OSCILLATION,Oscillation,Periodic variation around a baseline,sinusoidal,600,YES,NO,2.0,0.0,Wind Speed;Vibration,"baseline_value,amplitude,period",waveform,"Wind gusts, machinery vibration"
BEH_RECOVERY,Recovery,Return from abnormal to normal range,linear_or_exponential,300,YES,YES,3.0,0.1,All sensor types,"start_value,end_value,time_constant",falling curve back to baseline,Gas clearing after leak fixed
BEH_STEP_CHANGE,Step Change,Instant change from one state to another,step,10,NO,OPTIONAL,100.0,0.0,Boolean;Position Switch,"from_state,to_state",square wave,"Hood seal open/close, permit state change"
BEH_THERMAL_INERTIA,Thermal Inertia,Slow response to heating or cooling,first_order_lag,1800,YES,YES,2.0,0.1,Temperature;IR Thermal,"start_value,target_value,time_constant",slow S-curve,"Oven temperature, decanter temperature"
BEH_GAS_DIFFUSION,Gas Diffusion,Gas concentration rises with spatial diffusion,exponential_with_lag,900,YES,YES,3.0,0.1,H2S;CO;LEL;NH3,"start_value,target_value,time_constant",smooth S-curve,Confined space gas leak spreading
BEH_SLOW_DRIFT,Slow Drift,Gradual long-term drift in process variable,linear_slow,3600,YES,YES,1.0,0.05,TDS;Level;Flow,"start_value,end_value",very gentle slope,Water quality or level drift over shift
BEH_LINEAR_OSCILLATION,Linear Motion Oscillation,Position moving back and forth between limits,triangle_wave,600,NO,NO,10.0,0.0,Position,"min_position,max_position,period",triangle wave,Quench car shuttling along track
